GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
freightservice,cn.edu.xmu.freight.service,FreightService,117,3,0,0,25,1,15,1,15,1
freightservice,cn.edu.xmu.freight.controller,FreightController,135,7,2,0,22,2,16,2,15,2
freightservice,cn.edu.xmu.freight.model.vo,FreightModelSimpleInfoRetVo,275,0,54,0,7,0,44,0,17,0
freightservice,cn.edu.xmu.freight.model.vo,FreightModelVo,246,0,42,0,23,0,36,0,15,0
freightservice,cn.edu.xmu.freight.model.vo,PieceModelInfoRetVo,422,0,70,0,29,0,57,0,22,0
freightservice,cn.edu.xmu.freight.model.vo,PieceModelInfoVo,284,0,46,0,22,0,40,0,17,0
freightservice,cn.edu.xmu.freight.model.vo,WeightModelInfoRetVo,566,0,94,0,38,0,75,0,28,0
freightservice,cn.edu.xmu.freight.model.vo,WeightModelInfoVo,424,0,70,0,30,0,58,0,23,0
freightservice,cn.edu.xmu.freight.model.vo,FreightModelInfoVo,115,0,22,0,3,0,20,0,9,0
freightservice,cn.edu.xmu.freight.model.vo,FreightModelRetVo,343,0,62,0,17,0,50,0,19,0
freightservice,cn.edu.xmu.freight.model.bo,FreightModelBo,419,0,66,0,39,0,56,0,23,0
freightservice,cn.edu.xmu.freight.model.bo,FreightModelSimpleInfoBo,333,0,54,0,23,0,45,0,18,0
freightservice,cn.edu.xmu.freight.model.bo,PieceFreightModelBo,461,0,78,0,29,0,63,0,24,0
freightservice,cn.edu.xmu.freight.model.bo,WeightModelInfoBo,574,0,102,0,29,0,84,0,33,0
freightservice,cn.edu.xmu.freight.model.bo,PieceModelInfoBo,402,0,70,0,22,0,60,0,25,0
freightservice,cn.edu.xmu.freight.model.bo,WeightFreightModelBo,609,0,102,0,39,0,81,0,30,0
freightservice,cn.edu.xmu.freight,FreightServiceApplication,5,3,0,0,2,1,1,1,1,1
freightservice,cn.edu.xmu.freight.dao,FreightDao,1730,3,134,0,339,1,82,1,15,1
freightservice,cn.edu.xmu.freight.model.po,FreightModelPoExample,34,37,1,1,13,12,6,6,5,6
freightservice,cn.edu.xmu.freight.model.po,WeightFreightModelPoExample.GeneratedCriteria,1205,0,10,0,306,0,156,0,151,0
freightservice,cn.edu.xmu.freight.model.po,FreightModelPoExample.GeneratedCriteria,831,14,9,1,210,4,108,2,103,2
freightservice,cn.edu.xmu.freight.model.po,PieceFreightModelPoExample,71,0,2,0,25,0,12,0,11,0
freightservice,cn.edu.xmu.freight.model.po,WeightFreightModelPoExample.Criterion,89,0,2,0,32,0,14,0,13,0
freightservice,cn.edu.xmu.freight.model.po,PieceFreightModelPoExample.Criterion,89,0,2,0,32,0,14,0,13,0
freightservice,cn.edu.xmu.freight.model.po,PieceFreightModelPo,66,0,0,0,28,0,19,0,19,0
freightservice,cn.edu.xmu.freight.model.po,FreightModelPoExample.Criteria,0,3,0,0,0,2,0,1,0,1
freightservice,cn.edu.xmu.freight.model.po,FreightModelPo,5,59,1,1,1,24,2,16,1,16
freightservice,cn.edu.xmu.freight.model.po,PieceFreightModelPoExample.Criteria,3,0,0,0,2,0,1,0,1,0
freightservice,cn.edu.xmu.freight.model.po,PieceFreightModelPoExample.GeneratedCriteria,923,0,10,0,234,0,120,0,115,0
freightservice,cn.edu.xmu.freight.model.po,WeightFreightModelPoExample,71,0,2,0,25,0,12,0,11,0
freightservice,cn.edu.xmu.freight.model.po,WeightFreightModelPoExample.Criteria,3,0,0,0,2,0,1,0,1,0
freightservice,cn.edu.xmu.freight.model.po,WeightFreightModelPo,87,0,0,0,37,0,25,0,25,0
freightservice,cn.edu.xmu.freight.model.po,FreightModelPoExample.Criterion,89,0,2,0,32,0,14,0,13,0
